ano,mes,sexo,faixa_etaria,categoria,total_vendido
2014,11,1,ADULTO_TRABALHADOR,ANSIOLITICO,44307
2014,11,1,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,37320
2014,11,1,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,18920
2014,11,1,CRIANCA_ADOLESCENTE,ANSIOLITICO,31925
2014,11,1,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,31345
2014,11,1,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,15395
2014,11,1,IDOSO,ANSIOLITICO,19923
2014,11,1,IDOSO,ANTIDEPRESSIVO,12522
2014,11,1,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,5935
2014,11,1,JOVEM_ADULTO,ANSIOLITICO,2913
2014,11,1,JOVEM_ADULTO,ANTIDEPRESSIVO,2680
2014,11,1,JOVEM_ADULTO,ANTIPSICÓTICO_ESTABILIZADOR,2142
2014,11,2,ADULTO_TRABALHADOR,ANSIOLITICO,83808
2014,11,2,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,75736
2014,11,2,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,22408
2014,11,2,CRIANCA_ADOLESCENTE,ANSIOLITICO,26121
2014,11,2,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,30532
2014,11,2,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,448150
2014,11,2,IDOSO,ANSIOLITICO,40146
2014,11,2,IDOSO,ANTIDEPRESSIVO,26989
2014,11,2,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,8318
2014,11,2,JOVEM_ADULTO,ANSIOLITICO,4279
2014,11,2,JOVEM_ADULTO,ANTIDEPRESSIVO,4557
2014,11,2,JOVEM_ADULTO,ANTIPSICÓTICO_ESTABILIZADOR,1879
2014,12,1,ADULTO_TRABALHADOR,ANSIOLITICO,46464
2014,12,1,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,39968
2014,12,1,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,20751
2014,12,1,CRIANCA_ADOLESCENTE,ANSIOLITICO,35053
2014,12,1,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,33678
2014,12,1,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,17267
2014,12,1,IDOSO,ANSIOLITICO,20462
2014,12,1,IDOSO,ANTIDEPRESSIVO,12654
2014,12,1,IDOSO,ANTIPSICÓTICO_ESTABILIZADOR,6178
2014,12,1,JOVEM_ADULTO,ANSIOLITICO,3102
2014,12,1,JOVEM_ADULTO,ANTIDEPRESSIVO,2649
2014,12,1,JOVEM_ADULTO,ANTIPSICÓTICO_ESTABILIZADOR,2259
2014,12,2,ADULTO_TRABALHADOR,ANSIOLITICO,87900
2014,12,2,ADULTO_TRABALHADOR,ANTIDEPRESSIVO,80659
2014,12,2,ADULTO_TRABALHADOR,ANTIPSICÓTICO_ESTABILIZADOR,24322
2014,12,2,CRIANCA_ADOLESCENTE,ANSIOLITICO,27985
2014,12,2,CRIANCA_ADOLESCENTE,ANTIDEPRESSIVO,34277
2014,12,2,CRIANCA_ADOLESCENTE,ANTIPSICÓTICO_ESTABILIZADOR,10755
2014,12,2,IDOSO,ANSIOLITICO,42558
